tweet_id,user_id,date_created,text,language
386562810635567118,641658345,2024-03-25 00:00:00,Political common show any.,en
361742642323754433,741751630,2024-05-19 00:00:00,Camera pretty ready race. #food #news #funny @user2471465 😂,es
632528420601699684,462051778,2024-03-01 00:00:00,Opportunity family style manage personal.,it
515286693172433688,274892960,2023-08-25 00:00:00,Gun assume throw space. #funny #travel,ko
902293532573484625,976775877,2023-09-30 00:00:00,Citizen book international single but onto. #funny #travel,en
114718315453846871,693371904,2023-08-05 00:00:00,Minute citizen carry. @user1688028 @user9209275 @user3977988,en
193354604043307493,368788909,2023-03-05 00:00:00,Author unit try born close. 😱,es
251360324011426222,169609417,2024-06-29 00:00:00,Study particular establish around early official. #trending #news,ja
311265712572707271,623111328,2023-10-23 00:00:00,Ok push road allow truth foreign impact. 👍,ja
632400067996386195,749067898,2023-11-10 00:00:00,Near southern one note. #travel #food,zh
408373122754999302,876731593,2024-02-26 00:00:00,Everything body or watch give black program. #food #news #travel,de
812458936462629771,224178833,2023-02-01 00:00:00,Investment seat or image country.,ko
827655293560470358,248386150,2024-03-22 00:00:00,Have people ago itself son.,fr
598910092745760938,676064292,2023-04-02 00:00:00,Newspaper value serve of live against. @user2429910 @user1377889,fr
317402964609263818,958739826,2023-06-19 00:00:00,Sell them defense. @user4103324,en
546103481172957169,141401072,2024-02-22 00:00:00,Let training player forget money last outside. #trending #news #funny 😭,ja
703039980660519211,837117876,2023-08-17 00:00:00,Newspaper soldier nice majority. #funny 😱,ko
445762016492928382,271801733,2023-12-27 00:00:00,Traditional throughout front church. @user8245551 @user2135995 @user6292973,zh
314458653250650742,361440834,2023-09-29 00:00:00,Southern down look. #travel,ko
469155488135296567,329811778,2023-10-03 00:00:00,Stop soon understand offer film yeah bill north. 😭,it
656162709413627078,540965423,2024-10-10 00:00:00,Stock she recently sit. @user4503087,de
458567025221305768,555937334,2023-07-13 00:00:00,Way bill strong single reality deep measure. #travel #food @user7827230 @user8937370 @user3324810,ja
665531895928435919,618409641,2024-05-21 00:00:00,Power agree quickly red bank idea for. @user7381559,es
562192870278165355,498252188,2024-07-26 00:00:00,Activity purpose my stuff discussion instead herself.,ko
764866585190514730,852339815,2023-09-25 00:00:00,Wish recognize card reduce heavy like what.,zh
538457170460854504,249829975,2023-05-25 00:00:00,News side address identify our democratic wind many.,it
348352560741859031,585486712,2024-09-24 00:00:00,Poor alone bed where deep standard well.,es
566995452260212441,522989524,2024-10-04 00:00:00,Set food best and. #news #trending @user6203857 @user3262293 👍,ko
591799484211619368,231157834,2023-02-28 00:00:00,Side place present of idea. #news #food #funny @user6885835 @user1556628 @user9522192,en
997854044489796582,227504283,2024-09-10 00:00:00,Serve bill carry seven. #travel #trending,fr
139238233410563666,511885258,2024-10-03 00:00:00,Political usually first create.,zh
124280587205765389,133741073,2024-05-14 00:00:00,Step purpose two never get lay research experience.,ko
622885464760297282,212105810,2023-03-10 00:00:00,One behind remain use. @user3408932 @user7145885,fr
710820877799647005,631126892,2024-01-29 00:00:00,Billion activity fear. 🤯,zh
794432861389178198,254077426,2023-02-19 00:00:00,Laugh trial out. #food #travel,es
665601133874808539,814107240,2023-12-30 00:00:00,Thousand realize account media.,fr
408229175723968104,862806520,2024-05-12 00:00:00,Western student church left decide rich huge. @user4181955,ja
558208765722159453,562252374,2024-02-02 00:00:00,Available who article risk eight Republican common. @user7236593 @user1163717,de
161825476843249893,956275292,2023-12-08 00:00:00,Seek without worry kid. #food #funny #trending,zh
238254453566921799,619401493,2023-09-14 00:00:00,Read deal book store. #news #funny #travel,fr
134769738976354307,269500330,2023-06-02 00:00:00,Travel left talk safe budget much ok executive. #news #travel 😍,fr
449023245552514364,106710793,2023-03-12 00:00:00,Point view news green pick art. #travel,zh
440739908639990601,777688575,2023-11-04 00:00:00,Yeah church everybody cost. 😱,ko
936335912652055461,666083340,2024-05-13 00:00:00,Year arm land. @user7256536 @user1209600 @user7158333,zh
569250599612800249,666684163,2023-01-15 00:00:00,Responsibility ground teacher determine.,ja
376509674490923271,283390453,2023-09-18 00:00:00,Their south soldier brother continue consider growth. #trending #food @user2320316 😱,en
663904584782216619,618063163,2024-08-23 00:00:00,Police arrive trip girl deal together Mr.,ko
258430986612546405,731659632,2023-09-27 00:00:00,Strategy apply work race. @user2990690 @user8757215 @user7932083,es
898826276558068482,775253645,2024-07-22 00:00:00,Nothing should pretty culture. #trending #food @user4634322 @user3857133 🤯,fr
828869751011248426,210915950,2023-10-07 00:00:00,Life hear fire production. @user7405522 @user4269179 @user8492077 😱,ko
661503138587391335,121362737,2024-02-05 00:00:00,Hold allow increase never serve treat ready. @user5192434 @user8426351 @user3996017,de
953821139075096102,181560218,2023-12-11 00:00:00,Start cup tax threat listen happen significant. #food @user6360836 @user7534925,fr
677618732151713128,871454762,2024-07-18 00:00:00,Quality nature wall in through finish material. #funny,it
342836233654322126,168439078,2023-06-15 00:00:00,Glass own conference describe board.,ja
273038916821880469,931135381,2023-08-13 00:00:00,Through important wall forget attack American call.,it
352833016485907802,838828522,2024-06-13 00:00:00,Education south citizen remember. @user1970001,ja
420109353055488737,769559632,2023-08-03 00:00:00,Several program car. @user1807980 @user8797359,ko
100176614048020666,642575639,2023-07-09 00:00:00,Sound full later collection just best. #funny #news,ko
467537313385143688,840947929,2024-01-17 00:00:00,Capital central ago air several might second especially. 😭,de
653442705166427414,660516287,2024-01-11 00:00:00,Build past future. @user4413540 @user5799782 ❤️,es
439891465581371912,460485694,2024-08-26 00:00:00,Same force food nation future. #travel #food,ja
150429566910866456,137575600,2023-05-16 00:00:00,Health happen recent much quickly which age. @user1369946 @user9694964 @user1955574,zh
312840903116355495,262959017,2024-03-03 00:00:00,Wide cut member town exactly. @user6311962 🤯,zh
267760967355566050,289666596,2024-10-05 00:00:00,Relate debate to region soldier bag field. #food #travel #trending @user2867954 @user5566781 😍,ko
285941046942209838,521360632,2024-06-18 00:00:00,Such contain itself along throughout rather letter believe. #news @user6075982 @user5938311 @user3462834,zh
268908616131615561,401578107,2023-06-04 00:00:00,Home run system accept. #food #travel #trending,it
396525659093685956,675171530,2023-02-14 00:00:00,Reason loss include what sense popular usually. #news #food #travel,en
696522865894798577,673956044,2024-07-17 00:00:00,Culture poor new happen.,it
534528181896914188,527906186,2023-01-14 00:00:00,People size fine establish well. @user7556183,fr
274165909913557977,871771355,2023-09-21 00:00:00,Front garden heavy affect. #news #trending,it
251951784758803508,865378104,2023-09-08 00:00:00,More position to he.,fr
843714419657202398,851659107,2023-09-30 00:00:00,Forget again class radio. #food #travel,fr
782181870455852116,438213504,2024-06-12 00:00:00,Human deep poor minute view when.,es
953233973244681823,517225426,2023-04-26 00:00:00,Increase meeting exactly power unit resource record.,ko
687242230363360900,930382302,2023-05-13 00:00:00,Myself dream what education these including guy. #travel @user3729306 @user2420357 @user2846281,fr
877937804403387698,297900791,2023-02-22 00:00:00,Coach show reveal or.,en
738409118015342481,181753824,2023-08-20 00:00:00,Center law interesting fear deep. @user9153872 @user6577796 @user7569049,zh
873752030183608186,955894936,2023-08-18 00:00:00,Suggest operation each picture fill. #news,zh
539447787169323370,328969565,2023-03-25 00:00:00,However water we remain measure. #travel #trending #news @user4640316 🔥,es
377591925108370964,704306274,2023-10-26 00:00:00,Other local of similar ever parent. #news,de
387888383252254863,842099155,2023-04-05 00:00:00,Back piece oil wonder although chair.,zh
197160991669146955,886638411,2023-09-30 00:00:00,Form hope child other site begin.,de
496690057344488461,334313190,2024-02-11 00:00:00,Production large change serious. 🔥,ja
677750312479053556,267683279,2023-10-17 00:00:00,Especially stand agree care. #travel #news #funny,it
395144255917639047,911976246,2024-02-11 00:00:00,Throughout official church interview media. #news #food ❤️,fr
299507689354040612,188878751,2024-09-14 00:00:00,Recent production evidence measure.,it
342025530697919974,718632376,2023-04-16 00:00:00,Reveal third teacher answer three few.,ja
733835417067260344,890016237,2023-07-15 00:00:00,Fall administration budget unit city continue indeed. #trending #news @user7273055 @user8439727,es
941937169027215059,281464073,2024-07-17 00:00:00,Meet beyond grow none half center second.,ja
504921687381484744,931488438,2024-03-06 00:00:00,Accept medical public necessary way. #trending #travel #news,ko
601653936660135574,871354784,2023-08-18 00:00:00,Instead dinner into instead find us us pass. #travel #food #trending,fr
339512935864646877,630015619,2023-10-09 00:00:00,Question themselves economy entire responsibility.,ko
335598344010788436,888604639,2023-06-06 00:00:00,Choice so between long huge item. #travel,it
497717692584615851,420013716,2023-06-06 00:00:00,During learn college small half fight. @user7553988 😱,en
626933801247616800,601209716,2023-11-10 00:00:00,Pattern admit modern international. #food #news @user1564069,en
823505889931115941,835653360,2023-01-29 00:00:00,Anyone my assume deal themselves require happy. @user7750878 @user7693675 @user1153580,en
584339037033827976,330582854,2024-03-20 00:00:00,Note executive himself look expect day. #travel 😱,ja
412982896997227552,842536204,2023-04-17 00:00:00,Yet cost customer through window something. #food #travel,ko
729537548449077615,682576737,2023-06-27 00:00:00,But phone report them cost all single suffer.,en
737460595247401019,834620272,2023-10-23 00:00:00,Gas itself budget where.,es
